Date,Open,High,Low,Close,Adj Close,Volume
2015-08-27,79.500000,81.190002,78.599998,80.720001,69.319084,21634833
2015-08-28,80.849998,80.989998,79.500000,79.849998,68.571960,8154866
2015-08-31,79.050003,80.739998,78.699997,80.410004,69.052879,7301131
2015-09-01,78.989998,79.879997,77.300003,77.709999,66.734215,6105329
2015-09-02,77.830002,78.800003,76.010002,77.150002,66.253304,5307347
2015-09-03,77.599998,79.610001,77.599998,78.080002,67.051956,4422991
2015-09-04,77.800003,78.290001,76.199997,77.620003,66.656929,5220062
2015-09-07,76.699997,78.489998,76.699997,76.849998,65.995682,844010
2015-09-08,77.010002,77.940002,76.760002,77.120003,66.227547,2648678
2015-09-09,77.690002,78.870003,77.349998,77.849998,66.854446,7412390
2015-09-10,77.550003,78.400002,77.099998,77.489998,66.545288,2834235
2015-09-11,77.610001,77.760002,76.300003,76.620003,65.798172,3810249
2015-09-14,76.779999,77.889999,76.620003,77.680000,66.708450,2319411
2015-09-15,77.790001,78.980003,77.019997,78.760002,67.635910,5533240
2015-09-17,79.000000,81.000000,77.410004,80.559998,69.181679,9385950
2015-09-18,78.800003,81.260002,78.800003,80.930000,69.499420,10689555
2015-09-21,80.449997,80.919998,79.290001,79.589996,68.348679,2470939
2015-09-22,79.209999,79.760002,78.750000,79.550003,68.314354,3000436
2015-09-23,79.500000,80.349998,79.150002,80.120003,68.803825,3520796
2015-09-24,79.510002,80.889999,79.510002,79.889999,68.606316,4713411
2015-09-25,79.610001,80.790001,79.610001,80.269997,68.932640,3065267
2015-09-28,80.029999,80.779999,79.050003,79.879997,68.597725,6541803
2015-09-29,79.860001,81.010002,78.809998,80.820000,69.404953,4512702
2015-09-30,80.919998,83.180000,80.510002,82.800003,71.105301,7797567
2015-10-01,83.500000,83.599998,82.290001,82.879997,71.174004,7710581
2015-10-02,82.879997,84.239998,81.949997,83.709999,71.886772,4156882
2015-10-05,84.500000,84.800003,82.809998,83.730003,71.903946,4531830
2015-10-06,83.730003,84.169998,82.000000,82.529999,70.873436,5271134
2015-10-07,83.190002,83.989998,81.970001,82.139999,70.538513,6791043
2015-10-08,82.120003,82.709999,81.959999,82.389999,70.753204,6097366
2015-10-09,82.790001,84.400002,82.400002,83.339996,71.569023,5750782
2015-10-12,83.989998,84.529999,83.540001,83.910004,72.058525,11552582
2015-10-13,83.879997,85.000000,83.750000,84.860001,72.874336,7272101
2015-10-14,84.110001,85.300003,84.110001,85.059998,73.046104,4778512
2015-10-15,85.000000,86.199997,84.010002,86.029999,73.879097,5389804
2015-10-16,85.410004,88.169998,85.410004,88.000000,75.570862,9840215
2015-10-19,87.699997,88.489998,86.529999,88.150002,75.699669,6539357
2015-10-20,88.010002,88.110001,87.199997,87.709999,75.321808,3886968
2015-10-21,88.290001,88.680000,87.320000,88.059998,75.622375,2901582
2015-10-22,88.199997,89.989998,87.230003,87.959999,75.536507,4152884
2015-10-23,88.500000,91.150002,88.379997,90.910004,78.069855,8671348
2015-10-26,91.209999,91.209999,87.750000,87.970001,75.545090,2824435
2015-10-27,88.269997,90.000000,87.199997,89.889999,77.193909,4997227
2015-10-28,88.910004,92.000000,88.910004,91.300003,78.404770,6891295
2015-10-29,91.389999,91.589996,90.209999,90.849998,78.018326,3173733
2015-10-30,91.000000,91.150002,88.309998,88.949997,76.386681,5322626
2015-11-03,88.019997,94.190002,88.019997,93.650002,80.422852,9500296
2015-11-04,93.180000,96.589996,93.180000,96.269997,82.672791,9969953
2015-11-05,96.080002,96.570000,94.500000,94.739998,81.358887,6114944
2015-11-06,94.739998,95.410004,93.540001,94.690002,81.315956,3097906
2015-11-09,94.599998,94.989998,91.500000,91.790001,78.825554,7204109
2015-11-10,89.099998,91.980003,89.099998,91.349998,78.447708,4436116
2015-11-11,91.099998,92.489998,91.099998,91.589996,78.653793,3024591
2015-11-12,91.209999,92.099998,90.800003,91.050003,78.190079,1494969
2015-11-13,90.709999,91.690002,89.230003,89.870003,77.176743,4726781
2015-11-17,90.589996,93.160004,89.620003,92.940002,79.813133,6787256
2015-11-18,92.199997,93.910004,92.199997,93.540001,80.328384,8760740
2015-11-19,93.889999,93.989998,91.110001,91.449997,78.533577,4130859
2015-11-20,91.470001,94.169998,91.470001,93.839996,80.586006,3962983
2015-11-23,93.989998,93.989998,91.419998,92.070000,79.066002,1755953
2015-11-24,91.610001,92.050003,90.379997,90.760002,77.941040,4002056
2015-11-25,90.760002,91.000000,88.529999,88.739998,76.437523,5045165
2015-11-26,88.519997,90.290001,88.519997,90.190002,77.686508,1169032
2015-11-27,89.410004,90.750000,88.559998,89.750000,77.307495,2060789
2015-11-30,90.690002,90.690002,88.559998,89.489998,77.083542,17098430
2015-12-01,88.910004,91.989998,88.910004,91.500000,78.814888,6869974
2015-12-02,91.500000,92.019997,89.309998,90.309998,77.789864,5552134
2015-12-03,90.000000,90.260002,88.500000,89.309998,76.928490,3589647
2015-12-04,89.790001,90.029999,88.830002,89.209999,76.842369,3586653
2015-12-07,89.489998,89.889999,87.750000,88.110001,75.894852,5938147
2015-12-08,88.889999,88.889999,87.010002,87.410004,75.291916,4522042
2015-12-09,87.989998,91.000000,87.419998,90.040001,77.557297,3057111
2015-12-10,90.190002,90.290001,87.989998,88.510002,76.239403,7187271
2015-12-11,88.510002,89.570000,88.059998,88.589996,76.308304,3628927
2015-12-14,88.309998,89.489998,87.599998,88.010002,75.808723,5461652
2015-12-15,88.360001,93.680000,88.360001,91.180000,78.539253,13725978
2015-12-16,91.989998,94.919998,91.580002,94.419998,81.330063,9077330
2015-12-17,94.889999,97.000000,94.599998,96.510002,83.130333,8182110
2015-12-18,95.510002,96.500000,95.150002,95.570000,82.320641,10966779
2015-12-21,96.000000,96.000000,93.830002,94.150002,81.097504,3673700
2015-12-22,94.820000,94.839996,92.120003,93.860001,80.847710,4700088
2015-12-23,93.559998,94.739998,92.620003,93.559998,80.589287,2910456
2015-12-24,93.739998,94.389999,93.000000,93.120003,80.210297,836791
2015-12-28,93.150002,94.400002,93.059998,94.040001,81.002754,1083101
2015-12-29,94.040001,94.739998,94.040001,94.489998,81.390366,1761807
2015-12-30,94.440002,94.989998,93.629997,94.160004,81.106117,1731396
2015-12-31,93.610001,95.389999,93.610001,94.989998,81.821045,1187706
2016-01-04,93.709999,94.010002,91.410004,91.790001,79.064682,4795720
2016-01-05,91.809998,92.180000,91.029999,91.720001,79.004395,8491911
2016-01-06,91.349998,91.989998,91.010002,91.629997,78.926857,13166577
2016-01-07,91.250000,91.250000,88.150002,89.540001,77.126610,7599840
2016-01-08,91.330002,91.330002,88.410004,88.849998,76.532257,7758573
2016-01-11,88.599998,89.790001,88.599998,89.300003,76.919876,11090411
2016-01-12,89.309998,90.000000,89.019997,89.339996,76.954330,12510697
2016-01-13,89.699997,89.699997,88.010002,88.620003,76.334160,8402889
2016-01-14,88.050003,88.760002,87.400002,87.589996,75.446953,7017485
2016-01-15,87.000000,87.000000,85.040001,85.419998,73.577782,8865712
2016-01-18,85.300003,85.970001,85.000000,85.470001,73.620857,1167228
2016-01-19,86.180000,86.300003,85.050003,85.940002,74.025703,12462332
2016-01-20,85.900002,85.900002,84.059998,85.230003,73.414131,8655501
2016-01-21,85.250000,85.500000,82.889999,83.080002,71.562187,6771303
2016-01-22,84.089996,85.389999,84.000000,84.970001,73.190163,6360916
2016-01-25,84.209999,86.389999,84.209999,86.029999,74.103218,2818879
2016-01-26,86.650002,86.650002,85.760002,86.529999,74.533897,11251233
2016-01-27,86.529999,88.889999,86.510002,87.989998,75.791496,5248162
2016-01-28,88.580002,89.290001,88.000000,88.730003,76.428909,5744804
2016-01-29,89.400002,95.339996,89.400002,94.629997,81.510956,11741667
2016-02-02,94.000000,94.000000,89.610001,90.050003,77.565903,7472571
2016-02-03,90.110001,91.389999,89.669998,91.160004,78.522026,4987289
2016-02-04,91.639999,91.779999,90.309998,90.629997,78.065498,3463303
2016-02-05,90.309998,90.989998,89.040001,89.410004,77.014633,2625821
2016-02-08,89.010002,89.410004,87.110001,87.989998,75.791496,2219626
2016-02-09,87.199997,88.370003,85.500000,86.150002,74.206589,5036825
2016-02-10,86.889999,89.510002,86.309998,88.389999,76.136055,3645530
2016-02-11,88.349998,88.349998,85.010002,87.120003,75.042107,4382163
2016-02-12,87.500000,87.800003,85.400002,85.540001,73.681152,4060057
2016-02-15,85.680000,87.699997,85.680000,87.589996,75.446953,1495910
2016-02-16,87.589996,87.769997,86.309998,86.519997,74.525291,3288319
2016-02-17,86.949997,93.250000,86.930000,92.019997,79.262787,9860570
2016-02-18,91.430000,92.779999,90.529999,91.300003,78.642624,6168792
2016-02-19,91.580002,92.010002,90.510002,91.599998,78.901016,4547771
2016-02-22,91.650002,91.989998,90.879997,91.449997,78.771820,2847828
2016-02-23,91.400002,92.000000,90.320000,90.540001,77.987976,2803858
2016-02-24,90.000000,91.680000,88.000000,90.370003,78.236885,4255498
2016-02-25,90.220001,91.099998,89.650002,90.519997,78.366745,2711310
2016-02-26,91.000000,91.029999,89.489998,89.779999,77.726089,3941375
2016-02-29,90.379997,91.989998,89.930000,91.620003,79.319054,6884184
2016-03-01,91.889999,95.000000,91.760002,94.300003,81.639244,5970881
2016-03-02,94.300003,94.910004,93.209999,93.830002,81.232338,5683211
2016-03-03,93.900002,94.589996,93.489998,94.120003,81.483406,2987641
2016-03-04,94.120003,96.000000,93.610001,95.000000,82.245262,15753259
2016-03-07,95.000000,96.500000,94.610001,96.110001,83.206230,6270699
2016-03-08,95.809998,96.000000,95.309998,95.750000,82.894562,6113429
2016-03-09,96.000000,96.500000,93.989998,95.980003,83.093681,6959286
2016-03-10,96.510002,96.650002,93.209999,93.410004,80.868729,4348881
2016-03-11,93.500000,96.150002,93.489998,94.650002,81.942253,5178636
2016-03-14,94.980003,94.989998,92.660004,93.430000,80.886047,3318040
2016-03-15,93.500000,95.089996,93.209999,94.879997,82.141365,4626532
2016-03-16,94.110001,97.489998,94.110001,97.029999,84.002701,4442639
2016-03-17,97.050003,99.440002,95.500000,97.650002,84.539467,6226076
2016-03-18,97.669998,99.500000,96.919998,98.750000,85.491776,9436688
2016-03-22,98.510002,99.389999,98.110001,98.510002,85.284004,6737447
2016-03-23,99.349998,99.349998,95.989998,96.830002,83.829567,6011585
2016-03-28,96.709999,98.610001,96.410004,98.250000,85.058914,8178538
2016-03-29,98.400002,99.769997,97.339996,99.279999,85.950623,4754339
2016-03-30,99.449997,99.900002,97.410004,99.430000,86.080490,6661258
2016-03-31,98.809998,99.800003,96.820000,97.430000,84.348999,5751825
2016-04-01,97.279999,98.790001,97.110001,98.000000,84.842476,3933473
2016-04-04,97.989998,98.000000,95.110001,95.790001,82.929192,3087333
2016-04-05,95.790001,95.790001,91.629997,93.650002,81.076515,2873165
2016-04-06,93.650002,96.519997,93.309998,96.080002,83.180252,5890377
2016-04-07,95.709999,96.580002,93.980003,94.639999,81.933594,6461470
2016-04-08,94.160004,95.360001,92.989998,93.360001,80.825447,4566565
2016-04-11,93.889999,94.889999,93.519997,94.050003,81.422806,2788701
2016-04-12,93.620003,94.639999,93.510002,94.129997,81.492065,4166224
2016-04-13,94.500000,94.720001,93.709999,94.339996,81.673866,6026256
2016-04-14,94.349998,94.680000,93.010002,93.330002,80.799477,4904641
2016-04-15,93.400002,94.309998,93.309998,94.099998,81.466095,5228797
2016-04-18,93.410004,94.480003,93.410004,93.809998,81.215027,3112055
2016-04-19,93.809998,95.589996,93.809998,95.019997,82.262558,17187204
2016-04-20,95.099998,95.699997,94.510002,95.529999,82.704094,4327733
2016-04-21,95.510002,96.000000,95.110001,95.839996,82.972473,10618224
2016-04-22,95.989998,95.989998,94.650002,95.440002,82.626190,5207188
2016-04-25,94.910004,96.250000,94.809998,95.739998,82.885902,4036298
2016-04-26,95.660004,96.089996,95.129997,95.769997,82.911880,4974055
2016-04-27,95.989998,98.190002,95.290001,97.980003,84.825157,7703564
2016-04-28,97.989998,97.989998,95.709999,96.690002,83.708351,2296582
2016-04-29,96.129997,97.980003,96.010002,97.669998,84.556778,2394265
2016-05-02,97.690002,99.290001,96.000000,98.930000,85.647598,3703759
2016-05-03,98.570000,98.599998,96.489998,96.809998,83.812248,5908909
2016-05-04,96.410004,96.629997,95.510002,96.260002,83.336090,4694058
2016-05-05,96.019997,97.230003,96.019997,96.610001,83.639099,3303407
2016-05-06,96.110001,97.129997,94.989998,95.860001,82.989792,5325269
2016-05-09,95.610001,97.290001,95.610001,96.779999,83.786270,2345440
2016-05-10,95.919998,97.980003,95.919998,97.760002,84.634705,2455746
2016-05-11,97.739998,98.379997,96.959999,98.209999,85.024277,3172589
2016-05-12,98.500000,99.150002,98.120003,98.989998,85.699562,4396652
2016-05-13,98.120003,98.839996,97.500000,97.610001,84.504845,2585023
